Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2012","2012","kg/ha","13583.7","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2013","2013","kg/ha","13640.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2014","2014","kg/ha","13695.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2015","2015","kg/ha","13125.9","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2016","2016","kg/ha","14029.9","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2017","2017","kg/ha","13863.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2018","2018","kg/ha","15814.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2019","2019","kg/ha","16046.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2020","2020","kg/ha","16650","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2021","2021","kg/ha","16727.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2022","2022","kg/ha","17204.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17112.9","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2024","2024","kg/ha","16651.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1961","1961","kg/ha","1937.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1962","1962","kg/ha","1934.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1963","1963","kg/ha","1934.9","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1964","1964","kg/ha","1999.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1965","1965","kg/ha","1986.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1966","1966","kg/ha","1824.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1967","1967","kg/ha","1836.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1968","1968","kg/ha","1874.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1969","1969","kg/ha","1910.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1970","1970","kg/ha","1948.6","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1971","1971","kg/ha","1952","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1972","1972","kg/ha","1763.3","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1973","1973","kg/ha","1969","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1974","1974","kg/ha","1977.9","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1975","1975","kg/ha","2074.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1976","1976","kg/ha","1891.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1977","1977","kg/ha","1805.6","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1978","1978","kg/ha","1852.7","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1979","1979","kg/ha","1642.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1980","1980","kg/ha","1932","A","Official value",""
