crop,year,yield_kg_per_ha,total_rainfall,avg_rainfall,max_rainfall,monsoon_rainfall
Wheat,1998,1546.3,135246.810128546,44.7244742488578,358.03278,104166.599056
Wheat,1999,1695.5,129543.024103328,42.8383016214709,394.2623,105714.196437
Wheat,2000,1793.1,147903.208026636,48.90979101409921,445.0504,118072.778422
Wheat,2001,1806.3,127178.317013323,42.05632176366501,351.93442,97181.305788
Wheat,2002,1885.9,130508.551921292,43.15758992106217,426.2787,102695.45795
Wheat,2003,2009.2,130985.770658408,43.31540035000265,352.459,107141.551325
Wheat,2004,2087.3,137872.708900568,45.59282701738359,339.5946,110989.285786
Wheat,2005,2134.4,110958.477267178,36.692618143908064,292.51852,84649.661549
Wheat,2006,2074.5,127446.086589679,42.14486990399438,309.90277,97543.597709
Wheat,2007,2156.3,138205.573417916,45.702901262538354,389.7787,106341.869949
Wheat,2008,2225.2,135794.880138772,44.90571433160449,324.42,113779.547868
Wheat,2009,1933.8,133018.564307753,43.98762047214054,413.74417,105406.61682
Wheat,2010,2128.9,124109.459620642,41.04148796978902,423.29413,100547.4324045
Wheat,2011,2274.7,136755.643980486,45.223427242224204,383.13446,109973.261733
Wheat,2012,2412.3,125227.425850588,41.411185797152115,325.72092,102938.680823
Wheat,2013,2290.2,141807.775564935,46.89410567623512,540.2857,104789.040092
Wheat,2014,2496.0,134649.251405733,44.52686885110218,271.3721,105963.589008
Wheat,2015,2591.4,121008.930771048,40.01618081053175,335.44263,90232.789763
Wheat,2016,2328.8,135503.509467565,44.80936159641699,384.37704,106339.516653
Wheat,2017,2553.8,118371.323552535,39.14395620123512,363.03278,95139.574294
Wheat,2018,2757.3,130115.096968872,43.02747915637302,305.8,105586.484692
Wheat,2019,2849.0,122663.106442189,40.56319657479795,460.91803,95610.290162
Wheat,2020,3088.7,139839.758519288,46.243306388653444,377.70587,106186.949131
Wheat,2021,2991.7,147155.437482122,48.66251239488162,357.7843,113322.716796
Wheat,2022,2991.1,126160.530543462,41.71975216384325,353.57376,96946.1795195
Wheat,2023,3007.4,110393.564912898,36.50580850294246,290.96722,87239.540342
Wheat,2024,2985.3,115179.322538063,38.08840031020602,382.85245,97736.21131
